movingobjectid,movingobject
0,{[POINT(27.86212921142578 35.74662780761719)@2022-06-27 00:00:10+00]}
5,{[POINT(26.717873431266625 35.62088788565943)@2022-06-27 00:00:10+00]}
28,{[POINT(52.04384408346037 46.37489318847656)@2022-06-27 00:00:10+00]}
31,{[POINT(134.1781997680664 34.050355038400426)@2022-06-27 00:00:10+00]}
40,{[POINT(17.11895282451923 47.65142925715042)@2022-06-27 00:00:10+00]}
56,{[POINT(130.25088500976562 31.477971481064618)@2022-06-27 00:00:10+00]}
64,{[POINT(140.85845947265625 37.56625935182733)@2022-06-27 00:00:10+00]}
72,{[POINT(126.76580429077148 35.72222900390625)@2022-06-27 00:00:10+00]}
74,{[POINT(15.900748116629464 43.17198672537076)@2022-06-27 00:00:10+00]}
94,{[POINT(31.083297729492188 35.77793884277344)@2022-06-27 00:00:10+00]}
