time,icao24,lat,lon,velocity,heading,vertrate,callsign,onground,alert,spi,squawk,baroaltitude,geoaltitude,lastposupdate,lastcontact
1656288000,34718e,40.87294006347656,1.9229736328125,187.6310635017997,245.543044135279,8.128,IBE2601 ,False,False,False,0417,5509.26,5814.06,1656287998.654,1656288000.0
1656288000,ac6364,33.139048430879235,-85.5262662926499,237.23957517209598,337.16031912814094,0.0,DAL749  ,False,False,False,5761,10363.2,11003.28,1656287998.568,1656288000.0
1656288000,406471,51.9085693359375,1.8383026123046875,169.17074616162108,286.0650610976732,-0.65024,TOM891  ,False,False,False,3541,5478.780000000001,5570.22,1656287998.754,1656288000.0
1656288000,a04417,33.75718688964844,-83.45837028659122,132.31215652659156,228.625464683238,-0.32512,N116SK  ,False,False,False,1716,7955.280000000001,8458.2,1656287998.776,1656288000.0
1656288000,c04aa1,42.86952209472656,-79.3079393963481,209.51201652529855,355.4933931162317,-7.80288,CGCGU   ,False,False,False,3622,5859.780000000001,6088.380000000001,1656287998.702,1656288000.0
1656288000,4d21ea,48.92765808105469,8.00579364483173,213.5184313015715,159.99330526225975,-0.32512,RYR2MW  ,False,False,False,2515,11887.2,12291.060000000001,1656287998.603,1656288000.0
1656288000,4ca9cc,47.56517028808594,8.388679504394531,221.4411036584305,303.72698490457776,0.0,RYR8KU  ,False,False,False,6607,11582.400000000001,12031.980000000001,1656287998.651,1656288000.0
1656288000,a20f1a,41.99859101893538,-77.70578783611916,215.1261861135321,1.6444032646950881,-9.7536,UCA4303 ,False,False,False,5631,5699.76,5958.84,1656287998.645,1656288000.0
1656288010,152019,46.37489318847656,52.04384408346037,241.48036430720165,36.77224835050793,0.0,AFL2976 ,False,False,False,,10660.380000000001,11087.1,1656288009.61,1656288009.922
1656288010,a895b4,35.91810607910156,-80.0497055053711,216.44402152003948,44.71111616471938,3.90144,RPA3701 ,False,False,False,7147,10005.060000000001,10584.180000000002,1656288009.595,1656288009.873
1656288010,845d1c,34.050355038400426,134.1781997680664,258.40456060512815,72.86372549642402,0.0,JAL304  ,False,False,False,,8839.2,9395.460000000001,1656288009.807,1656288009.807
1656288010,aa84f8,33.61738586425781,-112.04328264508928,115.68586258821078,150.12870792192814,-9.7536,N777VW  ,False,True,False,5203,1363.98,1417.3200000000002,1656288009.781,1656288009.781
1656288010,49f0d4,,,,,,TXLU00  ,False,False,False,,,,,1656288009.196
1656288010,a0a8df,41.608062744140625,-96.93050037730825,270.09289875558136,78.2406141491777,0.0,UAL247  ,False,False,False,6707,11277.6,11719.560000000001,1656288009.617,1656288009.996
1656288010,7c7a4d,-27.808817200741544,153.0453608586238,190.70058135062192,202.69120225856926,13.329920000000001,VOZ318  ,False,False,False,,4168.14,4351.02,1656288009.719,1656288009.994
1656288010,750503,2.98637260824947,101.99081947063577,185.2177017775407,74.53551884442733,12.029440000000001,KXP864  ,False,False,False,,4175.76,4373.88,1656288005.401,1656288005.564
1656288010,a721d5,37.14049258474576,-120.36627064580503,159.0564012449598,331.6113865905672,-5.20192,WCC55   ,False,False,False,7720,6362.700000000001,6758.9400000000005,1656288009.669,1656288009.964
1656288010,a888aa,32.85630798339844,-96.40733642578124,75.78407949484071,79.83430512045732,1.95072,N649WM  ,False,False,False,,1554.48,1661.16,1656288009.894,1656288009.911
1656288010,a61d3e,36.287109375,-120.85412979125977,249.4284267225588,130.98582430458896,0.32512,SWA651  ,False,False,False,3220,10668.0,11269.98,1656288009.669,1656288009.976
1656288010,a047db,38.456664004568324,-90.9573974609375,167.2607687813775,243.11970699977155,10.07872,SKW5463 ,False,False,False,,4998.72,5273.04,1656288009.748,1656288009.956
1656288010,71bf19,35.72222900390625,126.76580429077148,228.26767814879392,185.04245106917088,0.0,JNA305  ,False,False,False,,8534.4,9052.56,1656288009.761,1656288009.761
1656288010,a1286c,42.58360290527344,-69.84520652077413,239.04436359653056,63.82095882147229,0.0,DAL38   ,False,False,False,3051,10058.4,10500.36,1656288009.985,1656288009.985
1656288010,50840d,51.050079345703125,7.811873152449325,135.29975002688334,216.65204402074687,-5.20192,CAI88WY ,False,False,False,3202,2491.7400000000002,2628.9,1656288009.666,1656288009.987
1656288010,a046eb,29.653518676757812,-95.52649277907153,115.12516522086247,65.72555886556054,-6.827520000000001,N117HH  ,False,False,False,6021,1143.0,1211.58,1656288009.571,1656288009.571
1656288010,a80a97,38.66447319418697,-121.36798095703125,222.32136575252613,34.53583595402428,5.52704,SKW5644 ,False,False,False,3606,6682.740000000001,7071.360000000001,1656288009.976,1656288009.976
1656288010,a86b76,34.12888866359904,-118.19572448730469,67.32143992781201,279.67826005313395,-0.32512,N6411J  ,False,False,False,4722,1371.6000000000001,1424.94,1656288009.84,1656288009.96
1656288010,4cc542,43.17198672537076,15.900748116629464,224.22736792231646,13.398587219081882,0.0,BBD624  ,False,False,False,7750,10370.82,10896.6,1656287989.225,1656288009.183
1656288010,a968f8,37.15296858448093,-77.87186995796537,212.5874084098328,26.131000544938583,-0.32512,AAL1557 ,False,False,False,3130,7620.0,8023.86,1656288009.922,1656288009.922
